symbol,name,market,as_of,source
011200,HMM,유가,2026-06-12,KRX KIND
011210,현대위아,유가,2026-06-12,KRX KIND
011230,삼화전자공업,유가,2026-06-12,KRX KIND
011280,태림포장,유가,2026-06-12,KRX KIND
011300,우성머티리얼스,유가,2026-06-12,KRX KIND
011320,유니크,코스닥,2026-06-12,KRX KIND
011330,유니켐,유가,2026-06-12,KRX KIND
011370,서한,코스닥,2026-06-12,KRX KIND
011390,부산산업,유가,2026-06-12,KRX KIND
011420,갤럭시아에스엠,유가,2026-06-12,KRX KIND
011500,한농화성,유가,2026-06-12,KRX KIND
011560,세보엠이씨,코스닥,2026-06-12,KRX KIND
011690,와이투솔루션,유가,2026-06-12,KRX KIND
011700,한신기계공업,유가,2026-06-12,KRX KIND
011760,현대코퍼레이션,유가,2026-06-12,KRX KIND
011780,금호석유화학,유가,2026-06-12,KRX KIND
011790,SKC,유가,2026-06-12,KRX KIND
011810,STX,유가,2026-06-12,KRX KIND
011930,신성이엔지,유가,2026-06-12,KRX KIND
012030,DB,유가,2026-06-12,KRX KIND
012160,영흥,유가,2026-06-12,KRX KIND
012170,아센디오,유가,2026-06-12,KRX KIND
012200,계양전기,유가,2026-06-12,KRX KIND
012210,삼미금속,코스닥,2026-06-12,KRX KIND
012280,영화금속,유가,2026-06-12,KRX KIND
012320,경동인베스트,유가,2026-06-12,KRX KIND
012330,현대모비스,유가,2026-06-12,KRX KIND
012340,뉴인텍,코스닥,2026-06-12,KRX KIND
012450,한화에어로스페이스,유가,2026-06-12,KRX KIND
012510,더존비즈온,유가,2026-06-12,KRX KIND
012610,경인양행,유가,2026-06-12,KRX KIND
012620,원일특강,코스닥,2026-06-12,KRX KIND
012630,HDC,유가,2026-06-12,KRX KIND
012690,모나리자,유가,2026-06-12,KRX KIND
012700,리드코프,코스닥,2026-06-12,KRX KIND
012750,에스원,유가,2026-06-12,KRX KIND
012790,신일제약,코스닥,2026-06-12,KRX KIND
012800,대창,유가,2026-06-12,KRX KIND
012860,모베이스전자,코스닥,2026-06-12,KRX KIND
013000,세우글로벌,유가,2026-06-12,KRX KIND
013030,하이록코리아,코스닥,2026-06-12,KRX KIND
013120,동원개발,코스닥,2026-06-12,KRX KIND
013310,아진산업,코스닥,2026-06-12,KRX KIND
013360,일성건설,유가,2026-06-12,KRX KIND
013520,화승코퍼레이션,유가,2026-06-12,KRX KIND
013570,디와이,유가,2026-06-12,KRX KIND
013580,계룡건설산업,유가,2026-06-12,KRX KIND
013700,까뮤이앤씨,유가,2026-06-12,KRX KIND
013720,THE CUBE&,코스닥,2026-06-12,KRX KIND
013810,스페코,코스닥,2026-06-12,KRX KIND
013870,지엠비코리아,유가,2026-06-12,KRX KIND
013890,지누스,유가,2026-06-12,KRX KIND
013990,아가방컴퍼니,코스닥,2026-06-12,KRX KIND
014100,메디앙스,코스닥,2026-06-12,KRX KIND
014130,한익스프레스,유가,2026-06-12,KRX KIND
014160,대영포장,유가,2026-06-12,KRX KIND
014190,원익큐브,코스닥,2026-06-12,KRX KIND
014280,금강공업,유가,2026-06-12,KRX KIND
014440,영보화학,유가,2026-06-12,KRX KIND
014470,부방,코스닥,2026-06-12,KRX KIND
014530,극동유화,유가,2026-06-12,KRX KIND
014570,고려제약,코스닥,2026-06-12,KRX KIND
014580,태경비케이,유가,2026-06-12,KRX KIND
014620,성광벤드,코스닥,2026-06-12,KRX KIND
014680,한솔케미칼,유가,2026-06-12,KRX KIND
014710,사조씨푸드,유가,2026-06-12,KRX KIND
014790,HL D&I,유가,2026-06-12,KRX KIND
014820,동원시스템즈,유가,2026-06-12,KRX KIND
014830,유니드,유가,2026-06-12,KRX KIND
014910,성문전자,유가,2026-06-12,KRX KIND
014940,오리엔탈정공,코스닥,2026-06-12,KRX KIND
014950,삼익제약,코스닥,2026-06-12,KRX KIND
014970,삼륭물산,코스닥,2026-06-12,KRX KIND
014990,인디에프,유가,2026-06-12,KRX KIND
015020,이스타코,유가,2026-06-12,KRX KIND
015230,대창단조,유가,2026-06-12,KRX KIND
015260,에이엔피,유가,2026-06-12,KRX KIND
015360,INVENI,유가,2026-06-12,KRX KIND
015590,DKME,유가,2026-06-12,KRX KIND
015710,코콤,코스닥,2026-06-12,KRX KIND
015750,성우하이텍,코스닥,2026-06-12,KRX KIND
015760,한국전력공사,유가,2026-06-12,KRX KIND
015860,일진홀딩스,유가,2026-06-12,KRX KIND
015890,태경산업,유가,2026-06-12,KRX KIND
016090,대현,유가,2026-06-12,KRX KIND
016100,리더스코스메틱,코스닥,2026-06-12,KRX KIND
016250,SGC E&C,코스닥,2026-06-12,KRX KIND
016360,삼성증권,유가,2026-06-12,KRX KIND
016380,KG스틸,유가,2026-06-12,KRX KIND
016450,한세예스24홀딩스,유가,2026-06-12,KRX KIND
016580,환인제약,유가,2026-06-12,KRX KIND
